collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_771;JIANPINGYI Hubei (建平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_634;;110.694160;30.999617;Y;MDYZK;
courier;cou_772;BASHANYI Hubei (巴山驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_636;;110.404533;31.030022;N;MDYZK;
courier;cou_773;GAOTANGYI Chongqing (高塘驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1215;;109.888863;31.081345;Y;MDYZK;
courier;cou_774;YONGNINGYI Chongqing (永宁驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1216;;109.524750;31.054707;Y;MDYZK;
courier;cou_775;NANTUOYI Chongqing (南陀驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162736;;109.458934;30.995219;Y;MDYZK;
courier;cou_776;WUFENGYI Chongqing (五峰驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1254;;108.891495;30.966854;Y;MDYZK;
courier;cou_777;BAYANGYI Chongqing (巴阳驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_21341;;109.160904;30.990654;Y;MDYZK;
courier;cou_778;JIXIANYI Chongqing (集贤驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1253;;108.373596;30.812864;Y;MDYZK;
courier;cou_779;FENSHUIYI Chongqing (分水驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_162801;;108.083336;30.716667;Y;MDYZK;
courier;cou_780;LONGXIYI Chongqing (龙溪驿);;;107.676734;30.662487;Y;MDYZK;
courier;cou_781;TAIPINGYI Sichuan (太平驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1251;;107.204842;30.738197;Y;MDYZK;
courier;cou_782;QUXIAN Sichuan (渠县);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1249;;106.962242;30.844326;Y;MDYZK;
courier;cou_783;GUANG'ANZHOU Sichuan (广安州);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1247;;106.631752;30.474428;Y;MDYZK;
courier;cou_784;PANLONGYI Chongqing (盘龙驿);;;106.550003;30.250000;Y;MDYZK;
courier;cou_785;TUTUOYI Chongqing (土陀驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_165832;;106.501282;29.791927;Y;MDYZK;
courier;cou_786;WEISHUIYI Shaanxi (渭水驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_931;;108.709946;34.339054;Y;MDYZK;
courier;cou_787;QIYANGYI Shaanxi (岐阳驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_951;;107.385918;34.522518;Y;MDYZK;
courier;cou_788;LONGZHOUYI Shaanxi (陇州驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_981;;106.852959;34.891407;Y;MDYZK;
