"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"0bce8e3d-41c3-41fe-b1db-e4eb048111d9","Caieta","char-offset:31005","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"09c5f81f-a250-4213-a098-9836088299d6","Laurentum","char-offset:31016","PLACE","http://pleiades.stoa.org/places/988280578","Via Laurentina","41.7863405","12.479862666666667","road","UNVERIFIED","",""
"7b5dcfe1-6ab9-41ec-9583-80113095c4cc","Via Herculanea","char-offset:31166","PLACE","","","","","","UNVERIFIED","",""
"74c7f14c-0673-4edd-b9a8-a3bc688d2a29","Roman Empire","char-offset:31215","PLACE","http://pleiades.stoa.org/places/992075","Galliae","47.5","-2.5","province","UNVERIFIED","",""
"f3687356-ea02-4e85-b6e0-c45db6c2e75c","Minturnae","char-offset:31351","PLACE","http://pleiades.stoa.org/places/438787","Minturnae","","","unlocated","UNVERIFIED","",""
"c1a8afbd-4d30-4d21-ba95-64897c6bd50d","Via Herculanea","char-offset:31398","PLACE","","","","","","UNVERIFIED","",""
"a0c2d955-5544-4e3c-8207-3f058f9e3257","Castellone","char-offset:31506","PLACE","http://pleiades.stoa.org/places/432946","Monte Castellone 1|Monte Castellone, Ciorlano","41.43795","14.12549","settlement","UNVERIFIED","w",""
"92a3aa31-8624-496a-8c93-5a87a3368b38","Villa of the Honorates","char-offset:31525","PLACE","","","","","","UNVERIFIED","",""
"54a66f0a-feb9-4742-a4bc-efd77761a898","Fundi","char-offset:31577","PLACE","http://pleiades.stoa.org/places/432855","Fundi|Fundi, Fondi","41.357429","13.427922","bath,settlement","VERIFIED","",""
"10d820b0-5908-47e6-bd76-57044d949d50","Caieta","char-offset:31701","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"0cf82ccc-04ca-4be7-be18-f1b5c60eb07e","Pandana","char-offset:31743","PLACE","","","","","","UNVERIFIED","",""
"ea419f8a-c5cc-45b0-8259-dd4d150baf19","Pontia","char-offset:31755","PLACE","http://pleiades.stoa.org/places/364002","Pontia Ins.|Pontia Ins., Isola di Ponza|Pontia|Pontia, Ponza","40.907937","12.953184","island,settlement,archipelago","UNVERIFIED","",""
"660661a1-49d0-4113-b9b2-397790bf4e11","Caieta","char-offset:32113","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"738374af-62e0-4603-8c1a-d3fda10baa69","Mons Caecubus","char-offset:32123","PLACE","","","","","","UNVERIFIED","w",""
"49b87f54-32b5-4a38-b158-4d7444c9b138","Caecubum","char-offset:32183","PLACE","http://pleiades.stoa.org/places/432729","Caecubus Ager","41.25","13.25","region","VERIFIED","w",""
"18d4396c-c6a8-48c7-ab2e-525567ab876d","Via Appia","char-offset:32223","PLACE","http://pleiades.stoa.org/places/356966898","Via Appia","41.32701816113951","14.22498490948713","road","UNVERIFIED","",""
"fc842683-d0a1-490a-8181-61af2998356d","Pontine Marshes","char-offset:32360","PLACE","http://pleiades.stoa.org/places/433033","Pomptinae Paludes","41.75","12.75","marsh-wetland","UNVERIFIED","",""
"a8157da7-5b10-4465-8a47-ef277b0f20d9","Caieta","char-offset:32451","PLACE","http://pleiades.stoa.org/places/432734","Caieta|Caieta, Gaeta","41.20889","13.58687","settlement,tomb,port","UNVERIFIED","",""
"b80bcf61-f974-4827-8f3f-551524eedf17","Fundi","char-offset:32479","PLACE","http://pleiades.stoa.org/places/432855","Fundi|Fundi, Fondi","41.357429","13.427922","bath,settlement","VERIFIED","",""
"256e8c80-992c-4007-966f-5dfe7b95355d","Latium","char-offset:32595","PLACE","http://pleiades.stoa.org/places/432900","Latium","41.7909","12.7621","region,people","UNVERIFIED","",""
"825322be-6780-4391-bfee-7eadb15d7c9f","Sinuessa","char-offset:32604","PLACE","http://pleiades.stoa.org/places/433122","Sinues(s)a/Sinope|Sinuessa/Sinuesa/Sinope, Mondragone","41.149444","13.85","settlement-modern,settlement","VERIFIED","",""
"87e5ba67-a5e0-4050-bae2-9a3337603324","Liris","char-offset:32634","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"835459d2-676e-45e5-9ce0-b4e403154cc8","Gaurianus","char-offset:32643","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","VERIFIED","",""
"a9b86208-748c-4604-a914-1f6628990b1f","Liris","char-offset:32809","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"cebe4c1c-f0ce-4daa-ba13-c439d9c65350","Latium","char-offset:32832","PLACE","http://pleiades.stoa.org/places/432900","Latium","41.7909","12.7621","region,people","UNVERIFIED","",""
"04c9dbd0-8b90-4c2b-8208-c77ff068e465","Traiectum","char-offset:32866","PLACE","http://pleiades.stoa.org/places/99046","Traiectum|Traiectum, Utrecht|Utrecht","52.090701","5.121598","fort","UNVERIFIED","",""
"c1f610e5-e81b-4c37-8bac-a194f8b5546a","Liris","char-offset:32916","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"5d42c4e1-d97a-43ad-a47c-38494613496f","Speninum","char-offset:32941","PLACE","","","","","","UNVERIFIED","",""
"8f7e2a49-aa5b-40f6-9d26-8c76dc708843","Fractae","char-offset:32982","PLACE","","","","","","UNVERIFIED","w",""
"60b6c648-7d84-4240-8917-fbc08cabf5cf","Ponte Corvo","char-offset:33041","PLACE","http://dare.ht.lu.se/places/41551","Ponte Corvo, Benevento","41.108868","14.749422","","UNVERIFIED","",""
"d9bcdf0c-d885-4b37-aad6-1476177245e4","Fragellae","char-offset:33107","PLACE","","","","","","UNVERIFIED","",""
"9ad1414e-80cc-41b4-8fb6-1a122e553111","Ceparanum","char-offset:33187","PLACE","","","","","","UNVERIFIED","",""
"bab26753-b1a9-4c92-8c41-4f04bf701d5f","Liris","char-offset:33270","PLACE","http://pleiades.stoa.org/places/432910","Liris/Clanis (river)","41.3140277","13.893085","river","UNVERIFIED","",""
"bfbe6ecb-c4ed-4a26-82ab-c2291d059e5c","Vestini","char-offset:33315","PLACE","http://pleiades.stoa.org/places/413376","Vestini","42.3411523125","13.718283499999998","people","UNVERIFIED","",""
"e7fcca55-52d8-4a2c-9bea-0299f473c263","Samnites","char-offset:33327","PLACE","http://pleiades.stoa.org/places/442765","Samnites","41.25","14.75","people","UNVERIFIED","",""
