id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
419;419;aricia et albona;Aricia and Albona;;;;;La Riccia, Albano;14;mile;;;
420;420;ad nono;9th milestone;;Ionum;;;;7;mile;;;
421;421;roma;Rome;;;;;;9;mile;;;
422;422;rubras;Rubræ;;;;Saxa Rubra;Prima Porta;9;mile;;;
423;423;ad vicensimum;20th milestone;;;;;;11;mile;;;
424;424;aqua viua;Aqua Viva;;;;;;12;mile;;;
425;425;vcriculo;Utriculo;;;Ucriculo;Oriculum;Otricoli;12;mile;;;
426;426;narniae;Narnia;;;;;Narni;12;mile;;;
427;427;interamna;Interamna;;;;;Terni;8;mile;;;
428;428;tribus tabernis;Tres Tabernæ;;;;;;3;mile;;;
429;429;fani fugitiui;Fanum Fugitivi;;Fugenui;;;La Somma;10;mile;;;
430;430;spolitio;Spolitio;;;;Spoletium;Spoleto;7;mile;;;
431;431;sacraria;Sacraria;;;;Clitumnus;La Vene;8;mile;;;
432;432;treuis;Trevi;;Tranes;;Trebia;Trevi;9;mile;;;
433;433;fulginis;Fulgini;;;;Fulginium;Foligno;5;mile;;;
434;434;foro flamini;Forum Flamini;;;;Forum Flaminii;S. Giovani pro Fiamma;3;mile;;;
435;435;noceria;Noceria;;;;Nuceria;Nocera;12;mile;;;
436;436;ptanias;Ptanias;;;;Tanadium;Gualdo Tadino;13;mile;;;
437;437;herbelloni;Herbellum;;;Herbelloni;Helvillum;Sigillo;7;mile;;;
438;438;ad hesis;Hesis;;Adesse;;Æsis;Scheggia;10;mile;;;
439;439;ad cale;Cale;Cale;Caloe;;Cales;Cagli;14;mile;;;
440;440;intercisa;Intercisa;;;;Petra Pertusa;Passo del Furlo;9;mile;;;
441;441;foro semproni;Forum Semproni;;;;Forum Sempronii;Fossombrone;9;mile;;;
442;442;ad octauo;8th milestone;;;;;;9;mile;;;
443;443;fano furtunae;Fanum Fortunæ;;;;;Fano;8;mile;;;
444;444;pisauro;Pisaurum;;;;;Pesaro;24;mile;;;
445;445;ariminum;Riminium;Ariminium;;;;Rimini;;mile;;;
446;446;conpetu;Conpetus;;;;Ad Confluentes;Savignano;12;mile;;;
447;447;cesena;Cesena;;;;Cæsena;Cesena;6;mile;;;
448;448;foro populi;Forum Populi;;Foropuli;;Forum Popilii;Forlimpopoli;6;mile;;;
449;449;foro liui;Forum Livi;;;;F. Livii;Forli;6;mile;;;
450;450;fauentia;Faventia;;;;;Faenza;5;mile;;;
451;451;foro corneli;Forum Corneli;;;;F. Cornelii;Imola;10;mile;;;
452;452;claterno;Claternum;;;;Claterna;S. Nicolo;13;mile;;;
453;453;bononia;Bononia;;;;;Bologna;10;mile;;;
454;454;ad medias;Mediæ;;;;;;15;mile;;;
455;455;victoriolas;Victoriolæ;;;;;;10;mile;;;
456;456;mutena;Mutena;;;;Mutina;Modena;3;mile;;;
457;457;ponte secies;River Secia;;;;;Tresinaro;5;mile;;;
458;458;regio;Regio;;;;Regium Lepidum;Reggio;8;mile;;;
459;459;canneto;Canneto;;;;Tannetum;Tanetto;10;mile;;;
460;460;parme;Parma;;;;;Parma;8;mile;;;
461;461;ad tarum;River Tarus;;;;;Taro;7;mile;;;
462;462;fidentiae;Fidentia;;Sidencie;;;Borgo San Donnino;8;mile;;;
463;463;ad fonteclos;Fonticuli;;;;;Alla Fontana;8;mile;;;
464;464;placentia;Placentia;;;;;Piacenza;13;mile;;;
